Hersteller;Produktname;kategorie;artikelnummer;artikel id;URL;produkttyp;durchmesser;rauchrohr durchmesser;isActive;farbe korpus-118
Dovre;Dovre Vintage 35 Kaminofen Gusseisen Schwarz, Bauart 2;Platzsparende Öfen;190.435.021;13791;;;;;0;
Dovre;Dovre Vintage 35 Kaminofen Gusseisen Schwarz, Bauart 1;Kaminöfen 6 bis 7 kW;190.436.021;13791;/dovre-vintage-35-kaminofen-gusseisen-schwarz;"[""Kaminofen""]";;150;1;
Dovre;Dovre Vintage 50 Kaminofen Gusseisen Schwarz;;190.441.021;13792;;;;;0;
Dovre;Dovre Vintage 50 Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 8 bis 9 kW;190.440.021;13792;/dovre-vintage-50-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Vintage 50 Kaminofen Gusseisen Weiß emailliert;Kaminöfen 8 bis 9 kW;190.441.080;13792;/dovre-vintage-50-kaminofen-gusseisen-weiss-emailliert;;;150;0;
Dovre;Dovre Phoenix 3 Kamineinsatz;;190.846.000;13793;;;;;0;
Dovre;Dovre Phoenix 2 Kamineinsatz;;190.845.000;13793;;;;;0;
Dovre;Dovre Phoenix 1 Kamineinsatz;;190.844.000;13793;;;;;0;
Dovre;Dovre Phoenix 4 Kamineinsatz Gusseisen Schwarz;Kamineinsätze;190.847.000;13793;/dovre-phoenix-4-kamineinsatz-gusseisen-schwarz;"[""Kamineinsatz""]";;150;1;
Dovre;Dovre Tai 45 WD Kaminofen Gusseisen Schwarz;;191.431.000;13794;;;;;0;
Dovre;Dovre Tai 45 WD Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 8 bis 9 kW;191.413.000;13794;/dovre-tai-45-wd-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Tai 55 M Kaminofen Gusseisen Schwarz;;191.432.000;13795;;;;;0;
Dovre;Dovre Tai 55 M Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 10 bis 15 kW;191.414.000;13795;/dovre-tai-55-m-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Tai 55 WD Kaminofen Gusseisen Schwarz;;191.434.000;13796;;;;;0;
Dovre;Dovre Tai 55 WD Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 10 bis 15 kW;191.424.000;13796;/dovre-tai-55-wd-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Tai 35 W Kaminofen Gusseisen Schwarz, Bauart 1;Kaminöfen 6 bis 7 kW;191.439.000;13797;;;;;0;
Dovre;Dovre Tai 35 W Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 6 bis 7 kW;191.437.000;13797;/dovre-tai-35-w-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Vista 701I Kamineinsatz Gusseisen Schwarz;Kamineinsätze;193.506.021;13798;/dovre-vista-701i-kamineinsatz-gusseisen-schwarz;"[""Kamineinsatz""]";;150;1;
Dovre;Dovre Vista 702I Kamineinsatz Gusseisen Schwarz;Kamineinsätze;193.510.021;13798;/dovre-vista-702i-kamineinsatz-gusseisen-schwarz;"[""Kamineinsatz""]";;150;1;
Dovre;Dovre Vista 802I Kamineinsatz mit Vermiculit-Platten im Brennraum;;193.511.021;13799;;;;;0;
Dovre;Dovre Vista 801I Kamineinsatz mit Gusseisenlamellen im Brennraum;;193.507.021;13799;;;;;0;
Dovre;Dovre 760 WD Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 10 bis 15 kW;193.781.000;13800;;;;;0;
Dovre;Dovre 760 WD Kaminofen Gusseisen Schwarz;Kaminöfen 10 bis 15 kW;193.768.000;13800;;;;;0;
Dovre;Dovre 760 WD Kaminofen Gusseisen Cremeweiß emailliert;Kaminöfen 10 bis 15 kW;193.768.087;13800;/dovre-760-wd-kaminofen-gusseisen-cremeweiss-emailliert;;;150;0;
Dovre;Dovre 760 WD Kaminofen Gusseisen Cremeweiß emailliert, Bauart 2;Kaminöfen 10 bis 15 kW;193.781.087;13800;/dovre-760-wd-kaminofen-gusseisen-cremeweiss-emailliert-bauart-2;"[""Kaminofen""]";;150;1;
Dovre;Dovre 640 WD Kaminofen Gusseisen Schwarz;Kaminöfen 10 bis 15 kW;193.769.000;13801;/dovre-640-wd-kaminofen-gusseisen-schwarz;"[""Kaminofen""]";;150;0;
Dovre;Dovre 640 WD Kaminofen Gusseisen Cremeweiß emailliert;Kaminöfen 10 bis 15 kW;193.769.087;13801;/dovre-640-wd-kaminofen-gusseisen-cremeweiss-emailliert;;;150;0;
Dovre;Dovre 640 WD Kaminofen Gusseisen Schwarz, Bauart 2;Platzsparende Öfen;193.780.000;13801;;;;;0;
Dovre;Dovre 640 WD Kaminofen Gusseisen Cremeweiß emailliert, Bauart 2;Kaminöfen 10 bis 15 kW;193.780.087;13801;/dovre-640-wd-kaminofen-gusseisen-cremeweiss-emailliert-bauart-2;;;150;0;
Dovre;Dovre Sense 103 Kaminofen Gusseisen Schwarz;;197.105.000;13802;;;;;0;
Dovre;Dovre Sense 103 Kaminofen Gusseisen Schwarz, Bauart 2;;197.101.000;13802;;;;;0;
Dovre;Dovre Sense 203 Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 6 bis 7 kW;197.103.000;13803;/dovre-sense-203-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Sense 203 Kaminofen Gusseisen Schwarz;Kaminöfen 6 bis 7 kW;197.107.000;13803;/dovre-sense-203-kaminofen-gusseisen-schwarz;"[""Kaminofen""]";;150;1;
Dovre;Dovre Sense 303 Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 8 bis 9 kW;197.119.000;13804;/dovre-sense-303-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Sense 303 Kaminofen Gusseisen Schwarz;;197.137.000;13804;;;;;0;
Dovre;Dovre Sense 403 Kaminofen Gusseisen Schwarz;;197.139.000;13805;;;;;0;
Dovre;Dovre Sense 403 Kaminofen Gusseisen Schwarz, Bauart 2;Kaminöfen 8 bis 9 kW;197.121.000;13805;/dovre-sense-403-kaminofen-gusseisen-schwarz-bauart-2;;;150;0;
Dovre;Dovre Bold 300 Kaminofen Gusseisen Schwarz;;197.153.000;13806;;;;;0;
Dovre;Dovre Bold 300 Kaminofen Gusseisen Schwarz, Bauart 2;;197.149.000;13806;;;;;0;
Dovre;Dovre Bold 400 Kaminofen Gusseisen Schwarz;;197.154.000;13807;;;;;0;
Dovre;Dovre Bold 400 Kaminofen Gusseisen Schwarz, Bauart 2;;197.150.000;13807;;;;;0;
Dovre;Dovre Bow P Kaminofen Gusseisen Schwarz;;197.168.000;13808;;;;;0;
Dovre;Dovre Bow P Kaminofen Gusseisen Schwarz, Bauart 2;;197.162.000;13808;;;;;0;
Dovre;Dovre Bow WB Kaminofen Gusseisen Schwarz;;197.170.000;13809;;;;;0;
Dovre;Dovre Bow WB Kaminofen Gusseisen Schwarz, Bauart 2;;197.164.000;13809;;;;;0;
Dovre;Dovre Brut 200 Kaminofen Gusseisen Schwarz;;197.173.000;13810;;;;;0;
Dovre;Dovre Brut 200 Kaminofen Gusseisen Schwarz, Bauart 2;;197.172.000;13810;;;;;0;
Haas + Sohn;Haas+Sohn Montegrotto II Kaminofen Schwarz / Woodstone;Kaminöfen 6 bis 7 kW;03 305 15 07;13811;/haassohn-montegrotto-ii-kaminofen-schwarz-woodstone;"[""Kaminofen""]";;149;0;"[""Schwarz"",""Beige""]"
